   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
117,547029,Lei nº 5.168 de 13/01/1927,LEI-5168-1927-01-13,Crêa a arma de Aviação do Exercito
118,547028,Lei nº 5.167-A de 12/01/1927,LEI-5167-A-1927-01-12,Modifica as tabellas de vencimentos dos officiaes e praças do Exercito e da Armada e dá outras providencias
119,547216,Lei nº 5.353 de 30/11/1927,LEI-5353-1927-11-30,Extingue as isenções e reducções de impostos alfandegarios e dá outras providencias
120,547476,Lei nº 5.606 de 19/12/1928,LEI-5606-1928-12-19,Orça a Receita da Republica dos Estados Unidos do Brasil para o exercicio de 1929
121,547312,Lei nº 5.445 de 14/01/1928,"LEI-5445-1928-01-14 , Lei Orçamentária - Despesas (1928)",Fixa a despesa geral da Republica dos Estados Unidos do Brasil para o exercicio de 1928
122,30819088,Lei nº 5.542 de 27/09/1928,LEI-5542-1928-09-27,Fixa as forças de terra para o exercicio de 1929
123,30812142,Lei nº 11 de 12/12/1934,LEI-11-1934-12-12,Modifica a legislação do ensino
124,541077,Lei nº 109 de 30/10/1935,LEI-109-1935-10-30,Dispõe sobre a exportação de abacaxis
125,541167,Lei nº 151 de 20/12/1935,LEI-151-1935-12-20,"Modifica o § 1º do art. 83 do Codigo de Caça e Pesca, ampliando o campo de pesca para os amadores"
126,541016,Lei nº 84 de 23/07/1935,LEI-84-1935-07-23,"Determina o pagamento de 22:110$ á D. Leopoldina de Mattos Porto, viuva do 2º tenente Ezequiel da Silva Porto"
127,540987,Lei nº 71 de 17/06/1935,LEI-71-1935-06-17,"Abre o credito extraordinario de 1.000:000$000, destinado a soccorrer as victimas dos temporaes e innundações da primeira quinzena de maio, na capital e em outros municipios da Bahia, e dá outras providencias"
128,541002,Lei nº 78 de 03/07/1935,LEI-78-1935-07-03,"Abre o credito especial de 1.467:999$200 pelo Ministério da Justiça, para pagar a juizes e procuradores dos Tribunais da Justiça Eleitoral"
129,540906,Lei nº 41 de 12/04/1935,LEI-41-1935-04-12,Autoriza o Governo a contractar o serviço de navegação nos rios Tocantins e   Araguaya
130,547503,Lei nº 5.631 de 31/12/1928,LEI-5631-1928-12-31,Declara os casos de inactividade dos officiaes do Exercito e da Armada e dá outras providencias
131,547409,Lei nº 5.540 de 27/09/1928,LEI-5540-1928-09-27,Fixa as forças de terra para o exercicio de 1929
132,547624,Lei nº 5.750 de 23/12/1929,LEI-5750-1929-12-23,Orça a Receita Geral dos Estados Unidos do Brasil para o exercicio de 1930.
133,547628,Lei nº 5.753 de 27/12/1929,LEI-5753-1929-12-27,Fixa a despesa geral da Republica dos Estados Unidos do Brasil para o exercicio de 1930
134,547615,Lei nº 5.742 de 28/11/1929,LEI-5742-1929-11-28,Fixa as forças de terra para o exercicio de 1930
135,30817790,Lei nº 5 de 12/11/1934,LEI-5-1934-11-12,Orça a Receita e fixa a Despesa Geral da Republica dos Estados Unidos da Brasil para o exercicio de 1936
136,540938,Lei nº 53 de 18/05/1935,LEI-53-1935-05-18,"Autoriza o Poder Executivo a dispender os recursos constantes da verba 22 sub-consignação 1, do orçamento vigente do Ministério da Educação."
